Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Aug 2024,YEM,10156422,Abyan,Sibah,first projection,2024-10-01,2025-03-31,4,1250,0.05
Aug 2024,YEM,10156422,Abyan,Sibah,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Sarar,current,2024-07-01,2024-09-30,all,22161,1.0
Aug 2024,YEM,10156422,Abyan,Sarar,current,2024-07-01,2024-09-30,3+,9972,0.45
Aug 2024,YEM,10156422,Abyan,Sarar,current,2024-07-01,2024-09-30,1,5540,0.25
Aug 2024,YEM,10156422,Abyan,Sarar,current,2024-07-01,2024-09-30,2,6648,0.3
Aug 2024,YEM,10156422,Abyan,Sarar,current,2024-07-01,2024-09-30,3,7756,0.35
Aug 2024,YEM,10156422,Abyan,Sarar,current,2024-07-01,2024-09-30,4,2216,0.1
Aug 2024,YEM,10156422,Abyan,Sarar,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Sarar,first projection,2024-10-01,2025-03-31,all,22434,1.0
Aug 2024,YEM,10156422,Abyan,Sarar,first projection,2024-10-01,2025-03-31,3+,8974,0.4
Aug 2024,YEM,10156422,Abyan,Sarar,first projection,2024-10-01,2025-03-31,1,6730,0.3
Aug 2024,YEM,10156422,Abyan,Sarar,first projection,2024-10-01,2025-03-31,2,6730,0.3
Aug 2024,YEM,10156422,Abyan,Sarar,first projection,2024-10-01,2025-03-31,3,7852,0.35
Aug 2024,YEM,10156422,Abyan,Sarar,first projection,2024-10-01,2025-03-31,4,1122,0.05
Aug 2024,YEM,10156422,Abyan,Sarar,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Khanfir,current,2024-07-01,2024-09-30,all,168776,1.0
Aug 2024,YEM,10156422,Abyan,Khanfir,current,2024-07-01,2024-09-30,3+,75950,0.45
Aug 2024,YEM,10156422,Abyan,Khanfir,current,2024-07-01,2024-09-30,1,42194,0.25
Aug 2024,YEM,10156422,Abyan,Khanfir,current,2024-07-01,2024-09-30,2,50633,0.3
Aug 2024,YEM,10156422,Abyan,Khanfir,current,2024-07-01,2024-09-30,3,59072,0.35
Aug 2024,YEM,10156422,Abyan,Khanfir,current,2024-07-01,2024-09-30,4,16878,0.1
Aug 2024,YEM,10156422,Abyan,Khanfir,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Khanfir,first projection,2024-10-01,2025-03-31,all,170996,1.0
Aug 2024,YEM,10156422,Abyan,Khanfir,first projection,2024-10-01,2025-03-31,3+,85498,0.5
Aug 2024,YEM,10156422,Abyan,Khanfir,first projection,2024-10-01,2025-03-31,1,42749,0.25
Aug 2024,YEM,10156422,Abyan,Khanfir,first projection,2024-10-01,2025-03-31,2,42749,0.25
Aug 2024,YEM,10156422,Abyan,Khanfir,first projection,2024-10-01,2025-03-31,3,59849,0.35
Aug 2024,YEM,10156422,Abyan,Khanfir,first projection,2024-10-01,2025-03-31,4,25649,0.15
Aug 2024,YEM,10156422,Abyan,Khanfir,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Lawdar,current,2024-07-01,2024-09-30,all,106805,1.0
Aug 2024,YEM,10156422,Abyan,Lawdar,current,2024-07-01,2024-09-30,3+,53403,0.5
Aug 2024,YEM,10156422,Abyan,Lawdar,current,2024-07-01,2024-09-30,1,26701,0.25
Aug 2024,YEM,10156422,Abyan,Lawdar,current,2024-07-01,2024-09-30,2,26701,0.25
Aug 2024,YEM,10156422,Abyan,Lawdar,current,2024-07-01,2024-09-30,3,37382,0.35
Aug 2024,YEM,10156422,Abyan,Lawdar,current,2024-07-01,2024-09-30,4,16021,0.15
Aug 2024,YEM,10156422,Abyan,Lawdar,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Lawdar,first projection,2024-10-01,2025-03-31,all,108354,1.0
Aug 2024,YEM,10156422,Abyan,Lawdar,first projection,2024-10-01,2025-03-31,3+,54177,0.5
Aug 2024,YEM,10156422,Abyan,Lawdar,first projection,2024-10-01,2025-03-31,1,27089,0.25
Aug 2024,YEM,10156422,Abyan,Lawdar,first projection,2024-10-01,2025-03-31,2,27089,0.25
Aug 2024,YEM,10156422,Abyan,Lawdar,first projection,2024-10-01,2025-03-31,3,37924,0.35
Aug 2024,YEM,10156422,Abyan,Lawdar,first projection,2024-10-01,2025-03-31,4,16253,0.15
Aug 2024,YEM,10156422,Abyan,Lawdar,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Al mahfad,current,2024-07-01,2024-09-30,all,39083,1.0
Aug 2024,YEM,10156422,Abyan,Al mahfad,current,2024-07-01,2024-09-30,3+,19542,0.5
Aug 2024,YEM,10156422,Abyan,Al mahfad,current,2024-07-01,2024-09-30,1,7817,0.2
Aug 2024,YEM,10156422,Abyan,Al mahfad,current,2024-07-01,2024-09-30,2,11725,0.3
Aug 2024,YEM,10156422,Abyan,Al mahfad,current,2024-07-01,2024-09-30,3,11725,0.3
Aug 2024,YEM,10156422,Abyan,Al mahfad,current,2024-07-01,2024-09-30,4,7817,0.2
Aug 2024,YEM,10156422,Abyan,Al mahfad,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Al mahfad,first projection,2024-10-01,2025-03-31,all,38221,1.0
Aug 2024,YEM,10156422,Abyan,Al mahfad,first projection,2024-10-01,2025-03-31,3+,19110,0.5
Aug 2024,YEM,10156422,Abyan,Al mahfad,first projection,2024-10-01,2025-03-31,1,7644,0.2
Aug 2024,YEM,10156422,Abyan,Al mahfad,first projection,2024-10-01,2025-03-31,2,11466,0.3
Aug 2024,YEM,10156422,Abyan,Al mahfad,first projection,2024-10-01,2025-03-31,3,11466,0.3
Aug 2024,YEM,10156422,Abyan,Al mahfad,first projection,2024-10-01,2025-03-31,4,7644,0.2
Aug 2024,YEM,10156422,Abyan,Al mahfad,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Rasad,current,2024-07-01,2024-09-30,all,79793,1.0
Aug 2024,YEM,10156422,Abyan,Rasad,current,2024-07-01,2024-09-30,3+,31918,0.4
Aug 2024,YEM,10156422,Abyan,Rasad,current,2024-07-01,2024-09-30,1,23938,0.3
Aug 2024,YEM,10156422,Abyan,Rasad,current,2024-07-01,2024-09-30,2,23938,0.3
Aug 2024,YEM,10156422,Abyan,Rasad,current,2024-07-01,2024-09-30,3,27928,0.35
Aug 2024,YEM,10156422,Abyan,Rasad,current,2024-07-01,2024-09-30,4,3990,0.05
Aug 2024,YEM,10156422,Abyan,Rasad,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Rasad,first projection,2024-10-01,2025-03-31,all,78320,1.0
Aug 2024,YEM,10156422,Abyan,Rasad,first projection,2024-10-01,2025-03-31,3+,31328,0.4
Aug 2024,YEM,10156422,Abyan,Rasad,first projection,2024-10-01,2025-03-31,1,23496,0.3
Aug 2024,YEM,10156422,Abyan,Rasad,first projection,2024-10-01,2025-03-31,2,23496,0.3
Aug 2024,YEM,10156422,Abyan,Rasad,first projection,2024-10-01,2025-03-31,3,27412,0.35
Aug 2024,YEM,10156422,Abyan,Rasad,first projection,2024-10-01,2025-03-31,4,3916,0.05
Aug 2024,YEM,10156422,Abyan,Rasad,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,current,2024-07-01,2024-09-30,all,126957,1.0
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,current,2024-07-01,2024-09-30,3+,63478,0.5
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,current,2024-07-01,2024-09-30,1,25391,0.2
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,current,2024-07-01,2024-09-30,2,38087,0.3
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,current,2024-07-01,2024-09-30,3,38087,0.3
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,current,2024-07-01,2024-09-30,4,25391,0.2
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,first projection,2024-10-01,2025-03-31,all,128395,1.0
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,first projection,2024-10-01,2025-03-31,3+,64197,0.5
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,first projection,2024-10-01,2025-03-31,1,25679,0.2
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,first projection,2024-10-01,2025-03-31,2,38519,0.3
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,first projection,2024-10-01,2025-03-31,3,44938,0.35
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,first projection,2024-10-01,2025-03-31,4,19259,0.15
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Al Hudaydah,Hays,current,2024-07-01,2024-09-30,all,45931,1.0
Aug 2024,YEM,10156422,Al Hudaydah,Hays,current,2024-07-01,2024-09-30,3+,25262,0.55
Aug 2024,YEM,10156422,Al Hudaydah,Hays,current,2024-07-01,2024-09-30,1,9186,0.2
Aug 2024,YEM,10156422,Al Hudaydah,Hays,current,2024-07-01,2024-09-30,2,11483,0.25
Aug 2024,YEM,10156422,Al Hudaydah,Hays,current,2024-07-01,2024-09-30,3,16076,0.35
Aug 2024,YEM,10156422,Al Hudaydah,Hays,current,2024-07-01,2024-09-30,4,9186,0.2
Aug 2024,YEM,10156422,Al Hudaydah,Hays,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Al Hudaydah,Hays,first projection,2024-10-01,2025-03-31,all,80635,1.0
Aug 2024,YEM,10156422,Al Hudaydah,Hays,first projection,2024-10-01,2025-03-31,3+,44349,0.55
Aug 2024,YEM,10156422,Al Hudaydah,Hays,first projection,2024-10-01,2025-03-31,1,16127,0.2
Aug 2024,YEM,10156422,Al Hudaydah,Hays,first projection,2024-10-01,2025-03-31,2,20159,0.25
Aug 2024,YEM,10156422,Al Hudaydah,Hays,first projection,2024-10-01,2025-03-31,3,28222,0.35
Aug 2024,YEM,10156422,Al Hudaydah,Hays,first projection,2024-10-01,2025-03-31,4,16127,0.2
Aug 2024,YEM,10156422,Al Hudaydah,Hays,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,current,2024-07-01,2024-09-30,all,4317,1.0
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,current,2024-07-01,2024-09-30,3+,1295,0.3
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,current,2024-07-01,2024-09-30,1,1295,0.3
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,current,2024-07-01,2024-09-30,2,1727,0.4
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,current,2024-07-01,2024-09-30,3,1295,0.3
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,current,2024-07-01,2024-09-30,4,0,0
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,first projection,2024-10-01,2025-03-31,all,4824,1.0
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,first projection,2024-10-01,2025-03-31,3+,1206,0.25
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,first projection,2024-10-01,2025-03-31,1,1688,0.35
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,first projection,2024-10-01,2025-03-31,2,1930,0.4
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,first projection,2024-10-01,2025-03-31,3,1206,0.25
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,first projection,2024-10-01,2025-03-31,4,0,0
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Thamud,current,2024-07-01,2024-09-30,all,8336,1.0
Aug 2024,YEM,10156422,Hadramaut,Thamud,current,2024-07-01,2024-09-30,3+,2918,0.35
Aug 2024,YEM,10156422,Hadramaut,Thamud,current,2024-07-01,2024-09-30,1,2084,0.25
Aug 2024,YEM,10156422,Hadramaut,Thamud,current,2024-07-01,2024-09-30,2,3334,0.4
Aug 2024,YEM,10156422,Hadramaut,Thamud,current,2024-07-01,2024-09-30,3,2918,0.35
Aug 2024,YEM,10156422,Hadramaut,Thamud,current,2024-07-01,2024-09-30,4,0,0
Aug 2024,YEM,10156422,Hadramaut,Thamud,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Thamud,first projection,2024-10-01,2025-03-31,all,8199,1.0
Aug 2024,YEM,10156422,Hadramaut,Thamud,first projection,2024-10-01,2025-03-31,3+,2460,0.3
Aug 2024,YEM,10156422,Hadramaut,Thamud,first projection,2024-10-01,2025-03-31,1,2460,0.3
Aug 2024,YEM,10156422,Hadramaut,Thamud,first projection,2024-10-01,2025-03-31,2,3280,0.4
Aug 2024,YEM,10156422,Hadramaut,Thamud,first projection,2024-10-01,2025-03-31,3,2460,0.3
Aug 2024,YEM,10156422,Hadramaut,Thamud,first projection,2024-10-01,2025-03-31,4,0,0
Aug 2024,YEM,10156422,Hadramaut,Thamud,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Al qatn,current,2024-07-01,2024-09-30,all,111634,1.0
Aug 2024,YEM,10156422,Hadramaut,Al qatn,current,2024-07-01,2024-09-30,3+,44654,0.4
Aug 2024,YEM,10156422,Hadramaut,Al qatn,current,2024-07-01,2024-09-30,1,27909,0.25
Aug 2024,YEM,10156422,Hadramaut,Al qatn,current,2024-07-01,2024-09-30,2,39072,0.35
Aug 2024,YEM,10156422,Hadramaut,Al qatn,current,2024-07-01,2024-09-30,3,39072,0.35
Aug 2024,YEM,10156422,Hadramaut,Al qatn,current,2024-07-01,2024-09-30,4,5582,0.05
Aug 2024,YEM,10156422,Hadramaut,Al qatn,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Al qatn,first projection,2024-10-01,2025-03-31,all,112681,1.0
Aug 2024,YEM,10156422,Hadramaut,Al qatn,first projection,2024-10-01,2025-03-31,3+,45072,0.4
Aug 2024,YEM,10156422,Hadramaut,Al qatn,first projection,2024-10-01,2025-03-31,1,28170,0.25
Aug 2024,YEM,10156422,Hadramaut,Al qatn,first projection,2024-10-01,2025-03-31,2,39438,0.35
Aug 2024,YEM,10156422,Hadramaut,Al qatn,first projection,2024-10-01,2025-03-31,3,39438,0.35
Aug 2024,YEM,10156422,Hadramaut,Al qatn,first projection,2024-10-01,2025-03-31,4,5634,0.05
Aug 2024,YEM,10156422,Hadramaut,Al qatn,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,current,2024-07-01,2024-09-30,all,32854,1.0
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,current,2024-07-01,2024-09-30,3+,11499,0.35
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,current,2024-07-01,2024-09-30,1,11499,0.35
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,current,2024-07-01,2024-09-30,2,9856,0.3
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,current,2024-07-01,2024-09-30,3,9856,0.3
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,current,2024-07-01,2024-09-30,4,1643,0.05
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,first projection,2024-10-01,2025-03-31,all,32423,1.0
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,first projection,2024-10-01,2025-03-31,3+,12969,0.4
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,first projection,2024-10-01,2025-03-31,1,9727,0.3
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,first projection,2024-10-01,2025-03-31,2,9727,0.3
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,first projection,2024-10-01,2025-03-31,3,11348,0.35
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,first projection,2024-10-01,2025-03-31,4,1621,0.05
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,current,2024-07-01,2024-09-30,all,312152,1.0
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,current,2024-07-01,2024-09-30,3+,109254,0.35
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,current,2024-07-01,2024-09-30,1,109253,0.35
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,current,2024-07-01,2024-09-30,2,93646,0.3
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,current,2024-07-01,2024-09-30,3,93646,0.3
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,current,2024-07-01,2024-09-30,4,15608,0.05
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,first projection,2024-10-01,2025-03-31,all,312178,1.0
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,first projection,2024-10-01,2025-03-31,3+,109262,0.35
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,first projection,2024-10-01,2025-03-31,1,109262,0.35
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,first projection,2024-10-01,2025-03-31,2,93653,0.3
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,first projection,2024-10-01,2025-03-31,3,93653,0.3
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,first projection,2024-10-01,2025-03-31,4,15609,0.05
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Ad dis,current,2024-07-01,2024-09-30,all,40595,1.0
Aug 2024,YEM,10156422,Hadramaut,Ad dis,current,2024-07-01,2024-09-30,3+,14209,0.35
Aug 2024,YEM,10156422,Hadramaut,Ad dis,current,2024-07-01,2024-09-30,1,14208,0.35
Aug 2024,YEM,10156422,Hadramaut,Ad dis,current,2024-07-01,2024-09-30,2,12179,0.3
Aug 2024,YEM,10156422,Hadramaut,Ad dis,current,2024-07-01,2024-09-30,3,12179,0.3
Aug 2024,YEM,10156422,Hadramaut,Ad dis,current,2024-07-01,2024-09-30,4,2030,0.05
Aug 2024,YEM,10156422,Hadramaut,Ad dis,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Hadramaut,Ad dis,first projection,2024-10-01,2025-03-31,all,40812,1.0
