Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
Aug 2024,YEM,10156422,Al Dhale'e,first projection,2024-10-01,2025-03-31,3,175407,0.31
Aug 2024,YEM,10156422,Al Dhale'e,first projection,2024-10-01,2025-03-31,4,83801,0.15
Aug 2024,YEM,10156422,Al Dhale'e,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Al Jawf,current,2024-07-01,2024-09-30,all,118380,1.0
Aug 2024,YEM,10156422,Al Jawf,current,2024-07-01,2024-09-30,3+,65109,0.55
Aug 2024,YEM,10156422,Al Jawf,current,2024-07-01,2024-09-30,1,23676,0.2
Aug 2024,YEM,10156422,Al Jawf,current,2024-07-01,2024-09-30,2,29595,0.25
Aug 2024,YEM,10156422,Al Jawf,current,2024-07-01,2024-09-30,3,41433,0.35
Aug 2024,YEM,10156422,Al Jawf,current,2024-07-01,2024-09-30,4,23676,0.2
Aug 2024,YEM,10156422,Al Jawf,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Al Jawf,first projection,2024-10-01,2025-03-31,all,116557,1.0
Aug 2024,YEM,10156422,Al Jawf,first projection,2024-10-01,2025-03-31,3+,64106,0.55
Aug 2024,YEM,10156422,Al Jawf,first projection,2024-10-01,2025-03-31,1,23311,0.2
Aug 2024,YEM,10156422,Al Jawf,first projection,2024-10-01,2025-03-31,2,29139,0.25
Aug 2024,YEM,10156422,Al Jawf,first projection,2024-10-01,2025-03-31,3,40795,0.35
Aug 2024,YEM,10156422,Al Jawf,first projection,2024-10-01,2025-03-31,4,23311,0.2
Aug 2024,YEM,10156422,Al Jawf,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Lahj,current,2024-07-01,2024-09-30,all,1132963,1.0
Aug 2024,YEM,10156422,Lahj,current,2024-07-01,2024-09-30,3+,513826,0.45
Aug 2024,YEM,10156422,Lahj,current,2024-07-01,2024-09-30,1,294854,0.26
Aug 2024,YEM,10156422,Lahj,current,2024-07-01,2024-09-30,2,324283,0.29
Aug 2024,YEM,10156422,Lahj,current,2024-07-01,2024-09-30,3,352345,0.31
Aug 2024,YEM,10156422,Lahj,current,2024-07-01,2024-09-30,4,161481,0.14
Aug 2024,YEM,10156422,Lahj,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Lahj,first projection,2024-10-01,2025-03-31,all,1169594,1.0
Aug 2024,YEM,10156422,Lahj,first projection,2024-10-01,2025-03-31,3+,486583,0.42
Aug 2024,YEM,10156422,Lahj,first projection,2024-10-01,2025-03-31,1,302545,0.26
Aug 2024,YEM,10156422,Lahj,first projection,2024-10-01,2025-03-31,2,380467,0.33
Aug 2024,YEM,10156422,Lahj,first projection,2024-10-01,2025-03-31,3,368426,0.32
Aug 2024,YEM,10156422,Lahj,first projection,2024-10-01,2025-03-31,4,118157,0.1
Aug 2024,YEM,10156422,Lahj,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Al Maharah,current,2024-07-01,2024-09-30,all,198056,1.0
Aug 2024,YEM,10156422,Al Maharah,current,2024-07-01,2024-09-30,3+,71119,0.36
Aug 2024,YEM,10156422,Al Maharah,current,2024-07-01,2024-09-30,1,57754,0.29
Aug 2024,YEM,10156422,Al Maharah,current,2024-07-01,2024-09-30,2,69183,0.35
Aug 2024,YEM,10156422,Al Maharah,current,2024-07-01,2024-09-30,3,56229,0.28
Aug 2024,YEM,10156422,Al Maharah,current,2024-07-01,2024-09-30,4,14890,0.08
Aug 2024,YEM,10156422,Al Maharah,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Al Maharah,first projection,2024-10-01,2025-03-31,all,199304,1.0
Aug 2024,YEM,10156422,Al Maharah,first projection,2024-10-01,2025-03-31,3+,74195,0.37
Aug 2024,YEM,10156422,Al Maharah,first projection,2024-10-01,2025-03-31,1,51817,0.26
Aug 2024,YEM,10156422,Al Maharah,first projection,2024-10-01,2025-03-31,2,73291,0.37
Aug 2024,YEM,10156422,Al Maharah,first projection,2024-10-01,2025-03-31,3,61708,0.31
Aug 2024,YEM,10156422,Al Maharah,first projection,2024-10-01,2025-03-31,4,12488,0.06
Aug 2024,YEM,10156422,Al Maharah,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Taizz,current,2024-07-01,2024-09-30,all,1945413,1.0
Aug 2024,YEM,10156422,Taizz,current,2024-07-01,2024-09-30,3+,977009,0.5
Aug 2024,YEM,10156422,Taizz,current,2024-07-01,2024-09-30,1,460199,0.24
Aug 2024,YEM,10156422,Taizz,current,2024-07-01,2024-09-30,2,508205,0.26
Aug 2024,YEM,10156422,Taizz,current,2024-07-01,2024-09-30,3,679230,0.35
Aug 2024,YEM,10156422,Taizz,current,2024-07-01,2024-09-30,4,297779,0.15
Aug 2024,YEM,10156422,Taizz,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Taizz,first projection,2024-10-01,2025-03-31,all,1991124,1.0
Aug 2024,YEM,10156422,Taizz,first projection,2024-10-01,2025-03-31,3+,958565,0.48
Aug 2024,YEM,10156422,Taizz,first projection,2024-10-01,2025-03-31,1,469754,0.24
Aug 2024,YEM,10156422,Taizz,first projection,2024-10-01,2025-03-31,2,562806,0.28
Aug 2024,YEM,10156422,Taizz,first projection,2024-10-01,2025-03-31,3,690976,0.35
Aug 2024,YEM,10156422,Taizz,first projection,2024-10-01,2025-03-31,4,267589,0.13
Aug 2024,YEM,10156422,Taizz,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Aden,current,2024-07-01,2024-09-30,all,1247013,1.0
Aug 2024,YEM,10156422,Aden,current,2024-07-01,2024-09-30,3+,520787,0.42
Aug 2024,YEM,10156422,Aden,current,2024-07-01,2024-09-30,1,335883,0.27
Aug 2024,YEM,10156422,Aden,current,2024-07-01,2024-09-30,2,390342,0.31
Aug 2024,YEM,10156422,Aden,current,2024-07-01,2024-09-30,3,438675,0.35
Aug 2024,YEM,10156422,Aden,current,2024-07-01,2024-09-30,4,82113,0.07
Aug 2024,YEM,10156422,Aden,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Aden,first projection,2024-10-01,2025-03-31,all,1248228,1.0
Aug 2024,YEM,10156422,Aden,first projection,2024-10-01,2025-03-31,3+,557812,0.44
Aug 2024,YEM,10156422,Aden,first projection,2024-10-01,2025-03-31,1,301322,0.24
Aug 2024,YEM,10156422,Aden,first projection,2024-10-01,2025-03-31,2,389095,0.31
Aug 2024,YEM,10156422,Aden,first projection,2024-10-01,2025-03-31,3,466170,0.37
Aug 2024,YEM,10156422,Aden,first projection,2024-10-01,2025-03-31,4,91642,0.07
Aug 2024,YEM,10156422,Aden,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Shabwah,current,2024-07-01,2024-09-30,all,722602,1.0
Aug 2024,YEM,10156422,Shabwah,current,2024-07-01,2024-09-30,3+,336954,0.47
Aug 2024,YEM,10156422,Shabwah,current,2024-07-01,2024-09-30,1,185705,0.26
Aug 2024,YEM,10156422,Shabwah,current,2024-07-01,2024-09-30,2,199943,0.28
Aug 2024,YEM,10156422,Shabwah,current,2024-07-01,2024-09-30,3,231493,0.32
Aug 2024,YEM,10156422,Shabwah,current,2024-07-01,2024-09-30,4,105462,0.15
Aug 2024,YEM,10156422,Shabwah,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Shabwah,first projection,2024-10-01,2025-03-31,all,720901,1.0
Aug 2024,YEM,10156422,Shabwah,first projection,2024-10-01,2025-03-31,3+,302423,0.42
Aug 2024,YEM,10156422,Shabwah,first projection,2024-10-01,2025-03-31,1,185148,0.26
Aug 2024,YEM,10156422,Shabwah,first projection,2024-10-01,2025-03-31,2,233330,0.32
Aug 2024,YEM,10156422,Shabwah,first projection,2024-10-01,2025-03-31,3,247205,0.34
Aug 2024,YEM,10156422,Shabwah,first projection,2024-10-01,2025-03-31,4,55218,0.08
Aug 2024,YEM,10156422,Shabwah,first projection,2024-10-01,2025-03-31,5,0,0
Oct 2023,YEM,33733413,Taizz,first projection,2023-10-01,2024-02-29,all,1945413,1.0
Oct 2023,YEM,33733413,Taizz,first projection,2023-10-01,2024-02-29,3+,933943,0.48
Oct 2023,YEM,33733413,Taizz,first projection,2023-10-01,2024-02-29,1,529820,0.27
Oct 2023,YEM,33733413,Taizz,first projection,2023-10-01,2024-02-29,2,481651,0.25
Oct 2023,YEM,33733413,Taizz,first projection,2023-10-01,2024-02-29,3,659619,0.34
Oct 2023,YEM,33733413,Taizz,first projection,2023-10-01,2024-02-29,4,274324,0.14
Oct 2023,YEM,33733413,Taizz,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Al Maharah,first projection,2023-10-01,2024-02-29,all,198056,1.0
Oct 2023,YEM,33733413,Al Maharah,first projection,2023-10-01,2024-02-29,3+,71667,0.36
Oct 2023,YEM,33733413,Al Maharah,first projection,2023-10-01,2024-02-29,1,65981,0.33
Oct 2023,YEM,33733413,Al Maharah,first projection,2023-10-01,2024-02-29,2,60408,0.31
Oct 2023,YEM,33733413,Al Maharah,first projection,2023-10-01,2024-02-29,3,48213,0.24
Oct 2023,YEM,33733413,Al Maharah,first projection,2023-10-01,2024-02-29,4,23454,0.12
Oct 2023,YEM,33733413,Al Maharah,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Al Hudaydah,first projection,2023-10-01,2024-02-29,all,172888,1.0
Oct 2023,YEM,33733413,Al Hudaydah,first projection,2023-10-01,2024-02-29,3+,88741,0.51
Oct 2023,YEM,33733413,Al Hudaydah,first projection,2023-10-01,2024-02-29,1,34578,0.2
Oct 2023,YEM,33733413,Al Hudaydah,first projection,2023-10-01,2024-02-29,2,49570,0.29
Oct 2023,YEM,33733413,Al Hudaydah,first projection,2023-10-01,2024-02-29,3,60511,0.35
Oct 2023,YEM,33733413,Al Hudaydah,first projection,2023-10-01,2024-02-29,4,28230,0.16
Oct 2023,YEM,33733413,Al Hudaydah,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Hadramaut,first projection,2023-10-01,2024-02-29,all,1741215,1.0
Oct 2023,YEM,33733413,Hadramaut,first projection,2023-10-01,2024-02-29,3+,593222,0.34
Oct 2023,YEM,33733413,Hadramaut,first projection,2023-10-01,2024-02-29,1,483163,0.28
Oct 2023,YEM,33733413,Hadramaut,first projection,2023-10-01,2024-02-29,2,664830,0.38
Oct 2023,YEM,33733413,Hadramaut,first projection,2023-10-01,2024-02-29,3,535516,0.31
Oct 2023,YEM,33733413,Hadramaut,first projection,2023-10-01,2024-02-29,4,57706,0.03
Oct 2023,YEM,33733413,Hadramaut,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Marib,first projection,2023-10-01,2024-02-29,all,1624051,1.0
Oct 2023,YEM,33733413,Marib,first projection,2023-10-01,2024-02-29,3+,954197,0.59
Oct 2023,YEM,33733413,Marib,first projection,2023-10-01,2024-02-29,1,342731,0.21
Oct 2023,YEM,33733413,Marib,first projection,2023-10-01,2024-02-29,2,327124,0.2
Oct 2023,YEM,33733413,Marib,first projection,2023-10-01,2024-02-29,3,632857,0.39
Oct 2023,YEM,33733413,Marib,first projection,2023-10-01,2024-02-29,4,321340,0.2
Oct 2023,YEM,33733413,Marib,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Lahj,first projection,2023-10-01,2024-02-29,all,1132963,1.0
Oct 2023,YEM,33733413,Lahj,first projection,2023-10-01,2024-02-29,3+,535886,0.47
Oct 2023,YEM,33733413,Lahj,first projection,2023-10-01,2024-02-29,1,301184,0.27
Oct 2023,YEM,33733413,Lahj,first projection,2023-10-01,2024-02-29,2,295893,0.26
Oct 2023,YEM,33733413,Lahj,first projection,2023-10-01,2024-02-29,3,367544,0.32
Oct 2023,YEM,33733413,Lahj,first projection,2023-10-01,2024-02-29,4,168342,0.15
Oct 2023,YEM,33733413,Lahj,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Abyan,first projection,2023-10-01,2024-02-29,all,628929,1.0
Oct 2023,YEM,33733413,Abyan,first projection,2023-10-01,2024-02-29,3+,275728,0.44
Oct 2023,YEM,33733413,Abyan,first projection,2023-10-01,2024-02-29,1,178817,0.28
Oct 2023,YEM,33733413,Abyan,first projection,2023-10-01,2024-02-29,2,174383,0.28
Oct 2023,YEM,33733413,Abyan,first projection,2023-10-01,2024-02-29,3,195219,0.31
Oct 2023,YEM,33733413,Abyan,first projection,2023-10-01,2024-02-29,4,80509,0.13
Oct 2023,YEM,33733413,Abyan,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Shabwah,first projection,2023-10-01,2024-02-29,all,722602,1.0
Oct 2023,YEM,33733413,Shabwah,first projection,2023-10-01,2024-02-29,3+,291459,0.4
Oct 2023,YEM,33733413,Shabwah,first projection,2023-10-01,2024-02-29,1,219124,0.3
Oct 2023,YEM,33733413,Shabwah,first projection,2023-10-01,2024-02-29,2,212019,0.29
Oct 2023,YEM,33733413,Shabwah,first projection,2023-10-01,2024-02-29,3,227013,0.31
Oct 2023,YEM,33733413,Shabwah,first projection,2023-10-01,2024-02-29,4,64446,0.09
Oct 2023,YEM,33733413,Shabwah,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Al Jawf,first projection,2023-10-01,2024-02-29,all,118380,1.0
Oct 2023,YEM,33733413,Al Jawf,first projection,2023-10-01,2024-02-29,3+,53271,0.45
Oct 2023,YEM,33733413,Al Jawf,first projection,2023-10-01,2024-02-29,1,35514,0.3
Oct 2023,YEM,33733413,Al Jawf,first projection,2023-10-01,2024-02-29,2,29595,0.25
Oct 2023,YEM,33733413,Al Jawf,first projection,2023-10-01,2024-02-29,3,29595,0.25
Oct 2023,YEM,33733413,Al Jawf,first projection,2023-10-01,2024-02-29,4,23676,0.2
Oct 2023,YEM,33733413,Al Jawf,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Aden,first projection,2023-10-01,2024-02-29,all,1247012,1.0
Oct 2023,YEM,33733413,Aden,first projection,2023-10-01,2024-02-29,3+,473768,0.38
Oct 2023,YEM,33733413,Aden,first projection,2023-10-01,2024-02-29,1,361995,0.29
Oct 2023,YEM,33733413,Aden,first projection,2023-10-01,2024-02-29,2,411249,0.33
Oct 2023,YEM,33733413,Aden,first projection,2023-10-01,2024-02-29,3,345076,0.28
Oct 2023,YEM,33733413,Aden,first projection,2023-10-01,2024-02-29,4,128693,0.1
Oct 2023,YEM,33733413,Aden,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Al Dhale'e,first projection,2023-10-01,2024-02-29,all,506618,1.0
Oct 2023,YEM,33733413,Al Dhale'e,first projection,2023-10-01,2024-02-29,3+,256341,0.5
Oct 2023,YEM,33733413,Al Dhale'e,first projection,2023-10-01,2024-02-29,1,117690,0.23
Oct 2023,YEM,33733413,Al Dhale'e,first projection,2023-10-01,2024-02-29,2,132587,0.26
Oct 2023,YEM,33733413,Al Dhale'e,first projection,2023-10-01,2024-02-29,3,152808,0.3
Oct 2023,YEM,33733413,Al Dhale'e,first projection,2023-10-01,2024-02-29,4,103533,0.2
Oct 2023,YEM,33733413,Al Dhale'e,first projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,YEM,33733413,Socotra,first projection,2023-10-01,2024-02-29,all,75474,1.0
Oct 2023,YEM,33733413,Socotra,first projection,2023-10-01,2024-02-29,3+,30190,0.4
Oct 2023,YEM,33733413,Socotra,first projection,2023-10-01,2024-02-29,1,26416,0.35
Oct 2023,YEM,33733413,Socotra,first projection,2023-10-01,2024-02-29,2,18869,0.25
Oct 2023,YEM,33733413,Socotra,first projection,2023-10-01,2024-02-29,3,26416,0.35
Oct 2023,YEM,33733413,Socotra,first projection,2023-10-01,2024-02-29,4,3774,0.05
Oct 2023,YEM,33733413,Socotra,first projection,2023-10-01,2024-02-29,5,0,0
Mar 2023,YEM,32627231,Hajjah,current,2023-01-01,2023-05-31,all,32627231,1.0
Mar 2023,YEM,32627231,Hajjah,current,2023-01-01,2023-05-31,3+,0,0
Mar 2023,YEM,32627231,Hajjah,current,2023-01-01,2023-05-31,1,0,0
Mar 2023,YEM,32627231,Hajjah,current,2023-01-01,2023-05-31,2,0,0
Mar 2023,YEM,32627231,Hajjah,current,2023-01-01,2023-05-31,3,0,0
Mar 2023,YEM,32627231,Hajjah,current,2023-01-01,2023-05-31,4,0,0
Mar 2023,YEM,32627231,Hajjah,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Hajjah,first projection,2023-06-01,2023-12-31,3+,0,0
Mar 2023,YEM,32627231,Hajjah,first projection,2023-06-01,2023-12-31,1,0,0
Mar 2023,YEM,32627231,Hajjah,first projection,2023-06-01,2023-12-31,2,0,0
Mar 2023,YEM,32627231,Hajjah,first projection,2023-06-01,2023-12-31,3,0,0
Mar 2023,YEM,32627231,Hajjah,first projection,2023-06-01,2023-12-31,4,0,0
Mar 2023,YEM,32627231,Hajjah,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Ad Dali`,current,2023-01-01,2023-05-31,all,482001,1.0
Mar 2023,YEM,32627231,Ad Dali`,current,2023-01-01,2023-05-31,3+,200500,0.41
Mar 2023,YEM,32627231,Ad Dali`,current,2023-01-01,2023-05-31,1,106500,0.22
Mar 2023,YEM,32627231,Ad Dali`,current,2023-01-01,2023-05-31,2,174000,0.36
Mar 2023,YEM,32627231,Ad Dali`,current,2023-01-01,2023-05-31,3,140500,0.29
Mar 2023,YEM,32627231,Ad Dali`,current,2023-01-01,2023-05-31,4,60000,0.12
Mar 2023,YEM,32627231,Ad Dali`,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Ad Dali`,first projection,2023-06-01,2023-12-31,all,482001,1.0
Mar 2023,YEM,32627231,Ad Dali`,first projection,2023-06-01,2023-12-31,3+,241500,0.5
Mar 2023,YEM,32627231,Ad Dali`,first projection,2023-06-01,2023-12-31,1,106500,0.22
Mar 2023,YEM,32627231,Ad Dali`,first projection,2023-06-01,2023-12-31,2,133000,0.28
Mar 2023,YEM,32627231,Ad Dali`,first projection,2023-06-01,2023-12-31,3,150000,0.31
Mar 2023,YEM,32627231,Ad Dali`,first projection,2023-06-01,2023-12-31,4,91500,0.19
Mar 2023,YEM,32627231,Ad Dali`,first projection,2023-06-01,2023-12-31,5,0,0
Mar 2023,YEM,32627231,Hadramawt,current,2023-01-01,2023-05-31,all,1684662,1.0
Mar 2023,YEM,32627231,Hadramawt,current,2023-01-01,2023-05-31,3+,378000,0.22
Mar 2023,YEM,32627231,Hadramawt,current,2023-01-01,2023-05-31,1,519000,0.31
Mar 2023,YEM,32627231,Hadramawt,current,2023-01-01,2023-05-31,2,789000,0.47
Mar 2023,YEM,32627231,Hadramawt,current,2023-01-01,2023-05-31,3,362000,0.21
Mar 2023,YEM,32627231,Hadramawt,current,2023-01-01,2023-05-31,4,16000,0.01
Mar 2023,YEM,32627231,Hadramawt,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,Hadramawt,first projection,2023-06-01,2023-12-31,all,1684662,1.0
Mar 2023,YEM,32627231,Hadramawt,first projection,2023-06-01,2023-12-31,3+,497000,0.3
Mar 2023,YEM,32627231,Hadramawt,first projection,2023-06-01,2023-12-31,1,477000,0.28
Mar 2023,YEM,32627231,Hadramawt,first projection,2023-06-01,2023-12-31,2,709000,0.42
Mar 2023,YEM,32627231,Hadramawt,first projection,2023-06-01,2023-12-31,3,446500,0.27
Mar 2023,YEM,32627231,Hadramawt,first projection,2023-06-01,2023-12-31,4,50500,0.03
Mar 2023,YEM,32627231,Hadramawt,first projection,2023-06-01,2023-12-31,5,0,0
