Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,3+,19013500,0.6
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,1,5470000,0.17
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,2,7218500,0.23
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,3,11712000,0.37
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,4,7140500,0.23
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,5,161000,0
Nov 2020,YEM,30041712,current,2020-10-01,2020-12-31,all,30041712,1.0
Nov 2020,YEM,30041712,current,2020-10-01,2020-12-31,3+,13479500,0.45
Nov 2020,YEM,30041712,current,2020-10-01,2020-12-31,1,6544500,0.22
Nov 2020,YEM,30041712,current,2020-10-01,2020-12-31,2,10020000,0.33
Nov 2020,YEM,30041712,current,2020-10-01,2020-12-31,3,9815000,0.33
Nov 2020,YEM,30041712,current,2020-10-01,2020-12-31,4,3648000,0.12
Nov 2020,YEM,30041712,current,2020-10-01,2020-12-31,5,16500,0
Nov 2020,YEM,30041712,first projection,2021-01-01,2021-06-30,all,30041712,1.0
Nov 2020,YEM,30041712,first projection,2021-01-01,2021-06-30,3+,16147000,0.54
Nov 2020,YEM,30041712,first projection,2021-01-01,2021-06-30,1,5258000,0.17
Nov 2020,YEM,30041712,first projection,2021-01-01,2021-06-30,2,8644500,0.29
Nov 2020,YEM,30041712,first projection,2021-01-01,2021-06-30,3,11042000,0.37
Nov 2020,YEM,30041712,first projection,2021-01-01,2021-06-30,4,5058000,0.17
Nov 2020,YEM,30041712,first projection,2021-01-01,2021-06-30,5,47000,0
Jun 2020,YEM,29826000,current,2020-02-01,2020-04-30,all,7936741,1.0
Jun 2020,YEM,29826000,current,2020-02-01,2020-04-30,3+,2008080,0.25
Jun 2020,YEM,29826000,current,2020-02-01,2020-04-30,1,2304623,0.29
Jun 2020,YEM,29826000,current,2020-02-01,2020-04-30,2,3624038,0.46
Jun 2020,YEM,29826000,current,2020-02-01,2020-04-30,3,1523867,0.19
Jun 2020,YEM,29826000,current,2020-02-01,2020-04-30,4,484213,0.06
Jun 2020,YEM,29826000,current,2020-02-01,2020-04-30,5,0,0
Jun 2020,YEM,29826000,first projection,2020-07-01,2020-12-31,all,7936741,1.0
Jun 2020,YEM,29826000,first projection,2020-07-01,2020-12-31,3+,3213000,0.4
Jun 2020,YEM,29826000,first projection,2020-07-01,2020-12-31,1,1712417,0.22
Jun 2020,YEM,29826000,first projection,2020-07-01,2020-12-31,2,3008888,0.38
Jun 2020,YEM,29826000,first projection,2020-07-01,2020-12-31,3,2277770,0.29
Jun 2020,YEM,29826000,first projection,2020-07-01,2020-12-31,4,937666,0.12
Jun 2020,YEM,29826000,first projection,2020-07-01,2020-12-31,5,0,0
Jun 2019,YEM,30041712,current,2019-07-01,2019-09-30,all,2380793,1.0
Jun 2019,YEM,30041712,current,2019-07-01,2019-09-30,3+,1246500,0.52
Jun 2019,YEM,30041712,current,2019-07-01,2019-09-30,1,364500,0.15
Jun 2019,YEM,30041712,current,2019-07-01,2019-09-30,2,770000,0.32
Jun 2019,YEM,30041712,current,2019-07-01,2019-09-30,3,840500,0.35
Jun 2019,YEM,30041712,current,2019-07-01,2019-09-30,4,406000,0.17
Jun 2019,YEM,30041712,current,2019-07-01,2019-09-30,5,0,0
Dec 2018,YEM,29884585,current,2018-12-01,2019-01-31,all,29884585,1.0
Dec 2018,YEM,29884585,current,2018-12-01,2019-01-31,3+,15900000,0.53
Dec 2018,YEM,29884585,current,2018-12-01,2019-01-31,1,5109500,0.17
Dec 2018,YEM,29884585,current,2018-12-01,2019-01-31,2,8875000,0.3
Dec 2018,YEM,29884585,current,2018-12-01,2019-01-31,3,10879500,0.36
Dec 2018,YEM,29884585,current,2018-12-01,2019-01-31,4,4957000,0.17
Dec 2018,YEM,29884585,current,2018-12-01,2019-01-31,5,63500,0
Mar 2017,YEM,28235000,first projection,2017-03-01,2017-07-31,all,28235000,1.0
Mar 2017,YEM,28235000,first projection,2017-03-01,2017-07-31,3+,16966680,0.6
Mar 2017,YEM,28235000,first projection,2017-03-01,2017-07-31,1,5128620,0.18
Mar 2017,YEM,28235000,first projection,2017-03-01,2017-07-31,2,6139700,0.22
Mar 2017,YEM,28235000,first projection,2017-03-01,2017-07-31,3,10187750,0.36
Mar 2017,YEM,28235000,first projection,2017-03-01,2017-07-31,4,6778930,0.24
Mar 2017,YEM,28235000,first projection,2017-03-01,2017-07-31,5,0,0
