Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
May 2022,SDN,47881435,second projection,2022-10-01,2023-02-28,1,22396097,0.47
May 2022,SDN,47881435,second projection,2022-10-01,2023-02-28,2,17746553,0.37
May 2022,SDN,47881435,second projection,2022-10-01,2023-02-28,3,6189076,0.13
May 2022,SDN,47881435,second projection,2022-10-01,2023-02-28,4,1549705,0.03
May 2022,SDN,47881435,second projection,2022-10-01,2023-02-28,5,0,0
Mar 2021,SDN,46796616,current,2021-04-01,2021-05-31,all,46568825,1.0
Mar 2021,SDN,46796616,current,2021-04-01,2021-05-31,3+,7298273,0.16
Mar 2021,SDN,46796616,current,2021-04-01,2021-05-31,1,24459653,0.53
Mar 2021,SDN,46796616,current,2021-04-01,2021-05-31,2,14810899,0.32
Mar 2021,SDN,46796616,current,2021-04-01,2021-05-31,3,5457113,0.12
Mar 2021,SDN,46796616,current,2021-04-01,2021-05-31,4,1841160,0.04
Mar 2021,SDN,46796616,current,2021-04-01,2021-05-31,5,0,0
Mar 2021,SDN,46796616,first projection,2021-06-01,2021-09-30,all,46568825,1.0
Mar 2021,SDN,46796616,first projection,2021-06-01,2021-09-30,3+,9769621,0.21
Mar 2021,SDN,46796616,first projection,2021-06-01,2021-09-30,1,20273468,0.44
Mar 2021,SDN,46796616,first projection,2021-06-01,2021-09-30,2,16525736,0.35
Mar 2021,SDN,46796616,first projection,2021-06-01,2021-09-30,3,7072838,0.15
Mar 2021,SDN,46796616,first projection,2021-06-01,2021-09-30,4,2696783,0.06
Mar 2021,SDN,46796616,first projection,2021-06-01,2021-09-30,5,0,0
Mar 2021,SDN,46796616,second projection,2021-10-01,2022-02-28,all,46568825,1.0
Mar 2021,SDN,46796616,second projection,2021-10-01,2022-02-28,3+,5956008,0.13
Mar 2021,SDN,46796616,second projection,2021-10-01,2022-02-28,1,25605121,0.55
Mar 2021,SDN,46796616,second projection,2021-10-01,2022-02-28,2,15007696,0.32
Mar 2021,SDN,46796616,second projection,2021-10-01,2022-02-28,3,4631480,0.1
Mar 2021,SDN,46796616,second projection,2021-10-01,2022-02-28,4,1324529,0.03
Mar 2021,SDN,46796616,second projection,2021-10-01,2022-02-28,5,0,0
Oct 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,all,45012576,1.0
Oct 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,3+,7097179,0.16
Oct 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,1,20507606,0.46
Oct 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,2,17407791,0.39
Oct 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,3,5800371,0.13
Oct 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,4,1296808,0.03
Oct 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,5,0,0
Jun 2020,SDN,45319635,current,2020-06-01,2020-09-30,all,45198109,1.0
Jun 2020,SDN,45319635,current,2020-06-01,2020-09-30,3+,9578685,0.21
Jun 2020,SDN,45319635,current,2020-06-01,2020-09-30,1,19728053,0.44
Jun 2020,SDN,45319635,current,2020-06-01,2020-09-30,2,15891371,0.35
Jun 2020,SDN,45319635,current,2020-06-01,2020-09-30,3,7410682,0.16
Jun 2020,SDN,45319635,current,2020-06-01,2020-09-30,4,2168003,0.05
Jun 2020,SDN,45319635,current,2020-06-01,2020-09-30,5,0,0
Jun 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,all,45198109,1.0
Jun 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,3+,6380766,0.14
Jun 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,1,22830757,0.51
Jun 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,2,15986594,0.35
Jun 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,3,5657268,0.13
Jun 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,4,723491,0.02
Jun 2020,SDN,45319635,first projection,2020-10-01,2020-12-31,5,0,0
Jun 2019,SDN,42813000,current,2019-06-01,2019-08-31,all,41934359,1.0
Jun 2019,SDN,42813000,current,2019-06-01,2019-08-31,3+,5852810,0.13
Jun 2019,SDN,42813000,current,2019-06-01,2019-08-31,1,24246158,0.58
Jun 2019,SDN,42813000,current,2019-06-01,2019-08-31,2,11835390,0.28
Jun 2019,SDN,42813000,current,2019-06-01,2019-08-31,3,4809357,0.11
Jun 2019,SDN,42813000,current,2019-06-01,2019-08-31,4,1043453,0.02
Jun 2019,SDN,42813000,current,2019-06-01,2019-08-31,5,0,0
